campus,fall_year,high_school,city,applicants,admits,enrollees,applicant_mean_gpa,admit_mean_gpa,enrollee_mean_gpa
Riverside,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.69,3.80,
Riverside,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.78,3.92,
Riverside,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.03,
Riverside,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.78,3.83,3.31
Riverside,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.87,3.93,
Riverside,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.77,3.78,
San Diego,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.70,3.86,3.80
San Diego,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.52,3.83,3.76
San Diego,1996,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.45,3.81,3.75
San Diego,1997,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.63,3.86,3.72
San Diego,1998,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.57,3.83,3.63
San Diego,1999,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.41,3.91,
San Diego,2000,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.52,3.98,3.85
San Diego,2001,SANTA MARGARITA CATHOLIC HS,Rancho San Marga,,,,3.61,3.97,3.92
San Diego,2002,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.50,3.95,
San Diego,2003,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,4.00,
San Diego,2004,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.60,3.94,
San Diego,2005,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.59,3.91,
San Diego,2006,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.58,3.87,
San Diego,2007,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.57,3.99,
San Diego,2008,SANTA MARGARITA CATHOLIC HS,Rancho Santa Mar,,,,3.58,4.06,
San Diego,2009,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.54,4.02,
San Diego,2010,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.68,4.14,
San Diego,2011,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.66,4.14,
San Diego,2012,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.74,4.05,3.76
San Diego,2013,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.73,4.11,
San Diego,2014,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.73,4.03,3.88
San Diego,2015,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.71,4.17,
San Diego,2016,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.81,4.11,
San Diego,2017,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.84,4.08,4.04
San Diego,2018,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.87,4.13,
San Diego,2019,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.85,4.20,4.19
San Diego,2020,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.83,4.16,4.04
San Diego,2021,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.84,4.22,4.24
San Diego,2022,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.97,4.20,4.13
San Diego,2023,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.93,4.21,4.16
San Diego,2024,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.93,4.19,4.09
San Diego,2025,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.90,4.18,4.19
Santa Barbara,1994,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.44,3.64,3.43
Santa Barbara,1995,SANTA MARGARITA CATHOLIC HS,Rancho San Margarit,,,,3.30,3.48,3.35
